Row.names,Horodateur,Sexe,Age,Race,Nombre,Logement,Zone,Ext,Obs,Timide,Calme,Effrayé,Intelligent,Vigilant,Perséverant,Affectueux,Amical,Solitaire,Brutal,Dominant,Agressif,Impulsif,Prévisible,Distrait,Abondance,PredOiseau,PredMamm,Plus
23,2021-02-15 19:36:12 UTC,M,Moinsde1,NR,2,ASB,U,0,2,4,4,3,4,4,3,5,4,3,1,3,1,1,3,3,NSP,0,0,
230,2021-03-15 06:53:55 UTC,M,Plusde10,EUR,1,ASB,U,0,2,5,4,3,4,4,3,4,4,3,2,3,3,3,3,4,NSP,0,0,
2300,2021-03-13 21:19:08 UTC,M,2a10,PER,2,ML,U,1,2,2,5,2,5,3,3,5,4,1,1,4,3,2,4,3,2,0,1,
2301,2021-03-13 21:21:28 UTC,M,1a2,TUV,2,ASB,U,2,2,1,4,2,4,3,4,5,5,3,1,3,1,2,4,4,2,0,0,
2302,2021-03-13 21:22:04 UTC,M,Moinsde1,BRI,1,ML,U,0,3,4,4,3,4,4,3,3,1,2,1,1,3,2,5,3,2,0,0,
2303,2021-03-13 21:22:45 UTC,F,2a10,EUR,Plusde5,MI,R,0,3,3,4,3,4,3,4,4,1,4,1,3,3,3,4,4,2,0,0,
2304,2021-03-13 21:24:12 UTC,M,Plusde10,SBI,1,AAB,U,0,2,1,5,3,3,1,5,5,5,1,1,1,3,1,5,1,2,0,0,"C est un chat vraiment d intérieur il ne veut pas aller dehors 
Il est très attaché à l humain et en est très dépendant c est un pot de colle"
2305,2021-03-13 21:24:55 UTC,M,2a10,SPH,Plusde5,AAB,U,1,3,1,1,1,5,2,5,5,5,1,1,3,4,1,1,3,2,0,0,Je suis éleveuse dérogatoire de SPH j ai 3 Ms ils ont accès au balcon sécurisé et la maison adapté à leurs besoins mais à part les mouches ils ne peuvent pas chasser
2306,2021-03-13 21:26:38 UTC,M,2a10,CHA,2,ML,PU,2,1,5,4,5,4,5,3,4,5,2,4,4,4,4,2,4,2,0,0,
2307,2021-03-13 21:29:10 UTC,M,1a2,PER,1,ML,PU,0,2,2,5,3,4,4,2,5,5,5,1,5,3,3,4,1,2,0,0,Il capture des petits oiseaux en polystyrène comme si c'étaient des vrais.
2308,2021-03-13 21:32:00 UTC,F,2a10,EUR,2,MI,U,2,2,1,5,1,4,4,4,5,5,2,1,2,4,1,5,4,2,0,0,"Chat obèse, qui même si elle va à l’extérieur ne se dépense pas du tout"
2309,2021-03-13 21:38:31 UTC,M,2a10,BEN,2,ML,R,0,2,2,2,1,5,4,3,2,2,1,1,2,2,2,2,1,2,0,0,Mon chat sort à la laisse dans notre jardin..
231,2021-03-15 07:18:11 UTC,M,2a10,RAG,4,ML,PU,0,3,1,2,1,5,4,5,5,4,1,1,3,1,4,4,3,NSP,0,0,
2310,2021-03-13 21:42:57 UTC,M,1a2,SBI,2,ML,U,0,2,2,5,1,5,4,3,5,2,1,1,1,1,1,1,1,2,0,0,
2311,2021-03-13 21:59:50 UTC,F,2a10,PER,4,ML,PU,0,2,4,5,2,5,4,4,5,4,2,1,3,2,1,4,2,2,0,0,
2312,2021-03-13 22:02:37 UTC,M,2a10,PER,1,AAB,PU,0,2,2,4,3,3,5,5,5,3,4,3,4,3,4,4,4,2,0,0,
2313,2021-03-13 22:06:06 UTC,F,Plusde10,SPH,5,MI,R,1,2,1,5,3,5,5,5,5,5,1,1,1,3,1,5,1,2,0,0,
2314,2021-03-13 22:07:32 UTC,F,Moinsde1,NR,2,ML,U,0,3,3,3,3,2,1,2,2,2,3,3,3,3,3,2,1,2,0,0,
2315,2021-03-13 22:08:45 UTC,M,2a10,BEN,1,AAB,PU,2,2,4,5,3,5,3,5,3,3,3,1,3,3,1,5,4,2,0,0,
2316,2021-03-13 22:10:58 UTC,M,Moinsde1,RAG,1,ML,U,0,2,1,5,3,5,5,5,5,5,3,1,1,1,1,1,3,2,0,0,"On a choisi cette race pour son caractère doux  et on le sort en harnais il est trop gentil pour le laisser en liberté on nous le prendrais où il se laisserait attaquer par les autres animaux 

"
2317,2021-03-13 22:14:49 UTC,M,2a10,EUR,2,AAB,U,1,2,2,4,2,4,4,5,4,5,2,2,4,2,3,4,2,2,0,0,À défaut d'oiseau ou de petits mammifères il s'attaque aux insectes et rampants qui s'aventurent dans l'appartement.
2318,2021-03-13 22:16:13 UTC,M,Moinsde1,EUR,1,MI,U,0,3,5,4,5,5,4,3,5,1,1,1,1,3,3,3,3,2,0,0,Ronronne en permanence
2319,2021-03-13 22:26:22 UTC,F,2a10,PER,4,ML,U,1,3,3,4,3,4,4,2,4,4,4,1,1,2,1,1,2,2,0,0,
232,2021-03-15 07:20:31 UTC,F,2a10,SPH,3,MI,R,0,2,1,1,2,5,4,4,4,5,4,2,2,1,2,4,3,NSP,0,0,"Ne sortant 0, ma chatte ne chasse 0"
2320,2021-03-13 22:27:42 UTC,M,Plusde10,EUR,2,ML,R,2,2,1,5,1,5,4,3,5,5,4,1,1,5,4,5,4,2,0,0,
2321,2021-03-13 22:37:40 UTC,M,2a10,BEN,1,MI,PU,1,2,3,4,3,5,5,5,5,1,4,2,2,2,2,4,4,2,0,2,
2322,2021-03-13 22:43:43 UTC,M,2a10,EUR,2,ML,R,0,3,2,2,2,4,4,4,4,4,1,1,2,1,1,4,3,2,0,0,
2323,2021-03-13 22:45:19 UTC,M,2a10,NR,1,ML,U,3,1,4,3,4,3,5,4,4,3,4,3,3,4,3,4,3,2,0,0,"Il ne vient dans la maison que pour manger la plupart du temps, mais peut aussi venir plusieurs jours de suite pour y dormir, avant de reprendre le schéma habituel"
2324,2021-03-13 22:47:53 UTC,F,Moinsde1,RAG,3,ML,U,0,2,1,2,1,4,4,5,5,5,1,1,4,1,1,3,4,2,0,0,
2325,2021-03-13 22:54:49 UTC,F,2a10,PER,3,AAB,PU,2,2,2,3,1,3,2,3,3,2,1,1,1,1,2,1,3,2,0,0,Chat d'intérieur aimant aller sur la terrasse
2326,2021-03-13 22:59:28 UTC,M,2a10,RAG,1,MI,R,1,3,1,5,3,5,3,3,5,5,1,1,1,1,1,3,3,2,0,0,Il ne sort 0 seul et toujours sous haute surveillance
2327,2021-03-13 23:12:41 UTC,M,2a10,NSP,4,ASB,U,0,1,3,4,3,4,4,3,4,2,4,1,1,1,1,4,1,2,0,0,"C'est un gros pépère, qui passe ses journées à dormir depuis tout petit"
2328,2021-03-13 23:17:33 UTC,F,2a10,EUR,1,AAB,U,2,1,2,5,4,4,5,3,5,5,1,1,1,1,1,4,4,2,0,1,Réclame quand sa gamelle est vide ou quand sa litière est sale.
2329,2021-03-13 23:21:48 UTC,M,2a10,SPH,Plusde5,ASB,U,0,3,1,2,1,5,3,4,5,5,2,1,1,1,1,4,5,2,0,0,Fait des promenade en suivant son maitre sans laisse
233,2021-03-15 20:27:47 UTC,M,Moinsde1,SPH,1,ASB,U,0,2,2,3,3,3,4,5,4,5,1,3,3,3,3,3,3,NSP,0,0,
2330,2021-03-13 23:27:32 UTC,F,1a2,SPH,2,ML,PU,0,3,1,4,1,5,2,5,5,5,1,1,1,1,3,5,5,2,0,0,
2331,2021-03-13 23:51:07 UTC,F,2a10,NR,3,AAB,U,2,2,4,3,4,5,4,4,5,4,4,1,2,2,1,2,5,2,0,0,
2332,2021-03-13 23:53:04 UTC,M,2a10,NR,3,AAB,U,2,2,1,2,2,5,4,5,5,5,4,4,4,4,4,2,4,2,0,0,
2333,2021-03-13 23:54:24 UTC,M,2a10,NR,3,AAB,U,2,2,4,5,1,5,5,4,5,4,4,2,4,2,1,2,4,2,0,0,
2334,2021-03-13 23:56:24 UTC,F,2a10,EUR,1,AAB,R,1,1,2,5,3,4,4,4,4,4,4,3,4,2,3,4,3,2,0,0,
2335,2021-03-14 00:16:13 UTC,F,2a10,Autre,1,ML,R,2,3,2,2,4,1,3,2,1,4,3,2,3,4,4,4,3,2,0,1,"Mon chat est un ""american short hair"", en clair un chat de gouttière du Canada =)"
2336,2021-03-14 00:30:57 UTC,M,1a2,NR,1,ML,PU,2,2,2,4,3,5,5,3,4,5,2,2,2,1,3,4,4,2,0,0,Chat sort dans le jardin uniquement sous surveillance.
2337,2021-03-14 00:40:39 UTC,F,Plusde10,EUR,4,ML,R,0,2,1,5,3,4,2,5,5,5,2,1,1,3,4,4,3,2,0,0,"J'habite en appartement au 1er étage avec un grand jardin mais mes chats ne sortent pas, je trouve cela trop dangereux (route, personnes malfaisantes, chien,...)"
2338,2021-03-14 00:43:36 UTC,M,2a10,BRI,2,AAB,R,0,3,2,2,3,5,4,4,4,3,2,1,1,1,1,3,3,2,0,0,J’ai un PER et un British leur caractère se ressemble mais le PER est plus solitaire
2339,2021-03-14 01:25:56 UTC,F,2a10,NSP,2,ML,R,0,3,1,4,1,5,5,5,3,1,3,1,3,1,1,4,3,2,0,0,Mon chat ne va 0 a l extérieur
234,2021-03-15 20:55:44 UTC,M,1a2,RAG,1,MI,R,0,2,4,3,3,4,5,5,4,3,2,3,4,3,4,4,4,NSP,0,0,"Il ne sort pas, donc 2 dernières questions erronées. Il s'en prends aux araignées et insectes divers. Il est dominant avec moi (femme) et dominé avec mon conjoint (homme)"
2340,2021-03-14 01:58:11 UTC,F,2a10,MCO,Plusde5,MI,U,0,3,1,2,1,4,4,5,5,5,3,1,1,1,1,1,3,2,0,0,"Très observateur, et sais communiquer"
2341,2021-03-14 03:57:03 UTC,M,2a10,RAG,2,MI,R,0,3,1,4,2,4,4,4,4,4,1,4,4,3,2,4,2,2,0,0,"Tres fort en capture de mouches ,papillons et araignées"
2342,2021-03-14 05:07:08 UTC,M,Moinsde1,SPH,1,AAB,U,1,2,1,4,3,4,3,4,4,4,1,3,3,3,3,4,2,2,0,0,
2343,2021-03-14 05:45:49 UTC,M,Moinsde1,BEN,1,AAB,U,2,2,2,2,1,4,4,5,5,4,2,3,4,3,5,2,2,2,0,1,
2344,2021-03-14 07:08:27 UTC,F,1a2,BEN,1,ML,PU,2,3,1,4,1,4,4,4,4,4,2,1,4,4,2,4,2,2,0,0,Adore jouer à cache-cache avec moi dans la maison
2345,2021-03-14 07:13:35 UTC,F,1a2,EUR,2,AAB,PU,2,1,3,2,4,4,4,3,3,2,2,2,1,1,2,3,3,2,0,0,Ce questionnaire où est basé sur mon chat qui est avec moi l'autre chat qui m'appartient et j'ai mon père en Auvergne dans une maison individuel et il chasse des mulots très indépendant tes oiseaux aussi chasse.
2346,2021-03-14 07:45:33 UTC,F,1a2,RAG,1,ML,U,1,3,1,4,4,5,4,4,4,4,1,1,5,4,4,3,4,2,0,0,
2347,2021-03-14 08:23:43 UTC,F,2a10,NR,Plusde5,MI,PU,0,2,4,4,4,5,5,2,5,5,2,1,1,4,4,4,2,2,0,0,
2348,2021-03-14 08:40:02 UTC,M,Moinsde1,NR,1,ASB,U,0,2,1,3,3,4,4,4,3,4,3,1,4,3,4,4,4,2,0,0,
2349,2021-03-14 08:45:50 UTC,M,2a10,NR,1,ASB,PU,0,3,4,4,2,3,4,3,5,4,3,3,1,2,3,4,4,2,0,0,
235,2021-03-15 21:32:24 UTC,F,2a10,NR,1,ASB,U,0,1,5,4,3,4,3,3,3,1,5,1,3,3,3,3,2,NSP,0,0,en fait mon chat ne sort 0 car j'habite au 11 eme étage
2350,2021-03-14 08:51:04 UTC,M,1a2,EUR,1,ML,U,2,2,5,5,5,4,4,5,4,4,3,2,2,2,4,4,3,2,0,0,
